id,created_at,answers,metadata
01f1e833-1118-42fb-a817-a5de9e75d12d,2025-05-08 18:33:11.616649+00,"{""1"":""Already happening for simple tasks"",""2"":""Knowledge work industry"",""3"":""We ARE deploying them now"",""4"":""All decisions need human approval (defeating the purpose)"",""5"":""Self-modification of their own architecture"",""6"":""5-10 (balance of specialization and coordination)"",""7"":""No opinion"",""8"":""No opinion"",""9"":""No opinion"",""10"":""No opinion""}","{""timeZone"":""Europe/Madrid"",""timestamp"":""2025-05-08T18:33:11.331Z"",""userAgent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36""}"
04671c99-57c3-4d42-86c8-fe437f391724,2025-05-08 18:35:16.088776+00,"{""1"":""Machines will write 99% of code by 2030"",""2"":""Traditional education systems"",""3"":""Regulatory/compliance or technical readiness concerns"",""4"":""The developers who built the system"",""5"":""Self-modification of their own architecture"",""6"":""Fluid/dynamic number based on task (emergent organization)"",""7"":""Job security (including your own position)"",""8"":""The need for human oversight"",""9"":""Open source transparency"",""10"":""Be largely unnecessary for knowledge work""}","{""timeZone"":""America/New_York"",""timestamp"":""2025-05-08T18:35:15.680Z"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36""}"
05b20943-b330-420a-9c7a-85018c7a1daf,2025-04-29 17:04:45.174951+00,"{""1"":""Already happening for simple tasks"",""2"":""Software development lifecycle"",""3"":""Regulatory/compliance concerns"",""4"":""The company deploying the agents"",""5"":""Self-modification of their own architecture"",""6"":""5-10 (balance of specialization and coordination)"",""7"":""Control (allow autonomous decision execution)"",""8"":""The need for human oversight"",""9"":""Open source transparency"",""10"":""Focus on purely interpersonal/emotional work""}","{""timeZone"":""Europe/Zagreb"",""timestamp"":""2025-04-29T17:04:44.864Z"",""userAgent"":""Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Mobile/15E148 Safari/604.1""}"
0a9000b9-1886-4cc9-9fba-e077cc500978,2025-05-08 18:47:12.174192+00,"{""1"":""Already happening for simple tasks"",""2"":""Traditional education systems"",""3"":""Regulatory/compliance or technical readiness concerns"",""4"":""The company deploying the agents"",""5"":""True causal reasoning"",""6"":""Fluid/dynamic number based on task (emergent organization)"",""7"":""Privacy (complete work environment monitoring)"",""8"":""Reasoning failures under uncertainty"",""9"":""Open source transparency"",""10"":""Provide oversight and creative direction""}","{""timeZone"":""America/Los_Angeles"",""timestamp"":""2025-05-08T18:47:11.859Z"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36""}"
0aa81a0c-4a09-40e1-a26e-66d6b3a34b84,2025-05-10 19:32:48.533519+00,"{""1"":""Machines will write 99% of code by 2030"",""2"":""Software development lifecycle"",""3"":""We ARE deploying them now"",""4"":""All decisions need human approval (defeating the purpose)"",""5"":""True causal reasoning"",""6"":""Fluid/dynamic number based on task (emergent organization)"",""7"":""Control (allow autonomous decision execution)"",""8"":""Reasoning failures under uncertainty"",""9"":""Open source transparency"",""10"":""Develop new types of work we can't yet imagine""}","{""timeZone"":""Europe/Berlin"",""timestamp"":""2025-05-10T19:32:45.755Z"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""}"
0aab7a25-9a13-4a50-90e3-59003d924174,2025-04-29 12:43:19.595782+00,"{""1"":""5-10 years for most programming tasks"",""2"":""Knowledge work industry"",""3"":""Regulatory/compliance concerns"",""4"":""The agents themselves (new legal frameworks needed)"",""5"":""Perfect theory of mind about humans"",""6"":""Fluid/dynamic number based on task (emergent organization)"",""7"":""Control (allow autonomous decision execution)"",""8"":""Reasoning failures under uncertainty"",""9"":""Market competition and user choice"",""10"":""Provide oversight and creative direction""}","{""timeZone"":""Asia/Calcutta"",""timestamp"":""2025-04-29T12:43:19.004Z"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36""}"
0bfbca50-9e09-453a-896a-616a3e75b725,2025-05-08 18:34:32.033314+00,"{""1"":""Already happening for simple tasks"",""2"":""Knowledge work industry"",""3"":""Regulatory/compliance or technical readiness concerns"",""4"":""All decisions need human approval (defeating the purpose)"",""5"":""Memory"",""6"":""Fluid/dynamic number based on task (emergent organization)"",""7"":""Privacy (complete work environment monitoring)"",""8"":""Reasoning failures under uncertainty"",""9"":""Self-governing AI systems"",""10"":""Provide oversight and creative direction""}","{""timeZone"":""America/Los_Angeles"",""timestamp"":""2025-05-08T18:34:31.816Z"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""}"
0d90128f-3844-48dc-80c5-ce07901cf6ea,2025-05-08 18:34:19.096967+00,"{""1"":""5-10 years for most programming tasks"",""2"":""Software development lifecycle"",""3"":""Regulatory/compliance or technical readiness concerns"",""4"":""The company deploying the agents"",""5"":""True causal reasoning"",""6"":""5-10 (balance of specialization and coordination)"",""7"":""Nothing, the risks outweigh the benefits"",""8"":""Reasoning failures under uncertainty"",""9"":""Strong regulation and licensing"",""10"":""Develop new types of work we can't yet imagine"",""11"":""Still true that technology/computers allow humans to make more mistakes faster than any other invention other than hand guns and tequila.\n""}","{""timeZone"":""America/New_York"",""timestamp"":""2025-05-08T18:34:18.506Z"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""}"
0e928591-6294-4e0c-b4a8-422531c69875,2025-05-13 17:21:02.601021+00,"{""1"":""Machines will write 99% of code by 2030"",""2"":""Software development lifecycle"",""3"":""Regulatory/compliance or technical readiness concerns"",""4"":""The company deploying the agents"",""5"":""No opinion"",""6"":""No opinion"",""7"":""No opinion"",""8"":""Inability to truly understand human emotions"",""9"":""Strong regulation and licensing"",""10"":""No opinion""}","{""timeZone"":""Asia/Calcutta"",""timestamp"":""2025-05-13T17:21:01.993Z"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36""}"
1286a8d6-1962-452d-a2f2-1195a7514dc8,2025-05-08 18:34:00.291831+00,"{""1"":""Never - creativity can't be automated"",""2"":""Corporate decision-making hierarchies"",""3"":""Regulatory/compliance or technical readiness concerns"",""4"":""The company deploying the agents"",""5"":""No opinion"",""6"":""5-10 (balance of specialization and coordination)"",""7"":""Control (allow autonomous decision execution)"",""8"":""The need for human oversight"",""9"":""No opinion"",""10"":""Focus on purely interpersonal/emotional work""}","{""timeZone"":""Europe/Berlin"",""timestamp"":""2025-05-08T18:33:53.361Z"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0""}"
164864ff-2126-4efa-b564-e824e3eaa530,2025-05-08 18:36:22.978428+00,"{""1"":""5-10 years for most programming tasks"",""2"":""Traditional education systems"",""3"":""Regulatory/compliance or technical readiness concerns"",""4"":""The company deploying the agents"",""5"":""Self-modification of their own architecture"",""6"":""No opinion"",""7"":""Control (allow autonomous decision execution)"",""8"":""The need for human oversight"",""9"":""Self-governing AI systems"",""10"":""Develop new types of work we can't yet imagine"",""11"":""Provoking ideas!""}","{""timeZone"":""Europe/Dublin"",""timestamp"":""2025-05-08T18:36:22.930Z"",""userAgent"":""Mozilla/5.0 (iPhone; CPU iPhone OS 18_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/129.0.6668.69 Mobile/15E148 Safari/604.1""}"
